TOPO;Surface_(m²)
Beaulieu;4927
Cimetière d’Havré;7219
Château d’Havré;35630
Parc d’Obourg;4410
Bois d’Havré;6524
Epinlieu;399
Prés du village;46277
Abbaye de St-Denis;491
Centre Tilou;23884
PEMH Obourg;2015
Cimetière de Nimy;5444
Grand Large;13974
Parc Bonaert;30957
Les Burettes;28942
Arsenal de Cuesmes;3739
Ruches de Cuesmes;663
Ravel 98;4098
Parc de Jemappes;37931
Géothermia;5160
Mont Panisel;2813
Cimetière de Spiennes;2651
Ronveaux;3992
Pont du Prince;4823
Eglise d’Harveng;2262
La Trouille;3814
Carrière Omya;2315
Village des abeilles;472
Vésale;2134
B6;4030
Place du Parc;5980
Siège social;2647
Sainte Waudru;14043
Beffroi;5138
Jardin suspendu;2576
Epargne;4278
Stievenart;19807
Waux-Hall;12805
